package_id,package_name,destination,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost
IND0001,delhi explorer tour,delhi,3,5star,breakfast,ac coach,india gate delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.6,11500
IND0002,delhi heritage tour,delhi,4,3star,breakfast lunch dinner,train cab,humayuns tomb delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.5,30500
IND0003,delhi royal tour,delhi,3,3star,breakfast,ac coach,akshardham temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.6,37500
IND0004,delhi scenic tour,delhi,7,4star,breakfast lunch dinner,train cab,waste to wonder park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.1,46500
IND0005,delhi adventure tour,delhi,4,5star,breakfast,ac coach,jantar mantar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.2,102000
IND0006,delhi cultural tour,delhi,6,5star,breakfast,ac coach,chandni chowk delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.2,31500
IND0007,delhi nature tour,delhi,5,3star,breakfast dinner,private cab,lotus temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.5,37000
IND0008,delhi premium tour,delhi,5,5star,breakfast,train cab,red fort delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.5,114000
IND0009,delhi luxury tour,delhi,7,luxury heritage,breakfast,flight cab,agrasen ki baoli delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.2,18500
IND0010,delhi family tour,delhi,7,4star,breakfast lunch dinner,private cab,sunder nursery delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.6,42500
IND0011,delhi weekend tour,delhi,3,5star,breakfast,ac coach,garden of five senses delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.1,39000
IND0012,delhi discovery tour,delhi,3,5star,breakfast dinner,flight cab,lodhi garden delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.5,30000
IND0013,delhi panorama tour,delhi,4,5star,breakfast,flight cab,national gallery of modern art delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.5,100500
IND0014,delhi escape tour,delhi,3,4star,breakfast,train cab,national zoological park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.1,21000
IND0015,delhi trails tour,delhi,6,4star,breakfast lunch dinner,flight cab,qutub minar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.5,39500
IND0016,delhi delight tour,delhi,3,3star,breakfast dinner,train cab,national science centre delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.4,88000
IND0017,mumbai explorer tour,mumbai,5,4star,breakfast lunch dinner,flight cab,marine drive mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.5,16000
IND0018,mumbai heritage tour,mumbai,4,luxury heritage,breakfast lunch dinner,train cab,gateway of india mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.6,32000
IND0019,mumbai royal tour,mumbai,4,4star,breakfast,flight cab,chhatrapati shivaji maharaj vastu sangrahalaya mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.6,44500
IND0020,mumbai scenic tour,mumbai,7,luxury heritage,breakfast dinner,ac coach,sanjay gandhi national park mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.3,45000
IND0021,mumbai adventure tour,mumbai,4,3star,breakfast,private cab,siddhivinayak temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.8,98000
IND0022,mumbai cultural tour,mumbai,4,luxury heritage,breakfast lunch dinner,private cab,mahalaxmi temple mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.7,23500
IND0023,mumbai nature tour,mumbai,6,luxury heritage,breakfast lunch dinner,flight cab,haji ali dargah mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.4,41000
IND0024,mumbai premium tour,mumbai,7,3star,breakfast lunch dinner,flight cab,chowpatty beach mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,water sports beach walk sunset cruise,grand tour,all travelers,4.3,139000
IND0025,mumbai luxury tour,mumbai,5,5star,breakfast dinner,ac coach,essel world mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.3,14500
IND0026,mumbai family tour,mumbai,6,5star,breakfast lunch dinner,ac coach,elephanta caves mumbai local market mumbai city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.3,38500
IND0027,lonavala explorer tour,lonavala,7,5star,breakfast lunch dinner,ac coach,imagicaa lonavala local market lonavala city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,1.4,57000
IND0028,bangalore explorer tour,bangalore,4,4star,breakfast lunch dinner,private cab,bangalore palace bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.2,32000
IND0029,bangalore heritage tour,bangalore,7,luxury heritage,breakfast,private cab,lalbagh botanical garden bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.4,130500
IND0030,bangalore royal tour,bangalore,5,4star,breakfast,ac coach,cubbon park bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.4,29000
IND0031,bangalore scenic tour,bangalore,7,3star,breakfast lunch dinner,train cab,vidhana soudha bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.6,43000
IND0032,bangalore adventure tour,bangalore,3,4star,breakfast lunch dinner,train cab,iskcon temple bangalore bangalore local market bangalore city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.6,86500
