package_id,package_name,destination,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,budget_category,duration_category,package_profile
IND0001,delhi explorer tour,delhi,3,5star,breakfast,ac coach,india gate delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.6,11500,budget,weekend,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography budget budget budget students solo travelers students solo travelers students solo travelers india gate delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots india gate delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star budget budget weekend weekend ac coach breakfast
IND0002,delhi heritage tour,delhi,4,3star,breakfast lunch dinner,train cab,humayuns tomb delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.5,30500,standard,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography family family family families families families humayuns tomb delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots humayuns tomb delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star standard standard short_trip short_trip train cab breakfast lunch dinner
IND0003,delhi royal tour,delhi,3,3star,breakfast,ac coach,akshardham temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,honeymoon,couples,4.6,37500,standard,weekend,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography honeymoon honeymoon honeymoon couples couples couples akshardham temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots akshardham temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star standard standard weekend weekend ac coach breakfast
IND0004,delhi scenic tour,delhi,7,4star,breakfast lunch dinner,train cab,waste to wonder park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,adventure,adventure lovers,4.1,46500,standard,vacation,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography adventure adventure adventure adventure lovers adventure lovers adventure lovers waste to wonder park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots waste to wonder park delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star standard standard vacation vacation train cab breakfast lunch dinner
IND0005,delhi adventure tour,delhi,4,5star,breakfast,ac coach,jantar mantar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,luxury,premium travelers,4.2,102000,luxury,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography luxury luxury luxury premium travelers premium travelers premium travelers jantar mantar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots jantar mantar delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star luxury luxury short_trip short_trip ac coach breakfast
IND0006,delhi cultural tour,delhi,6,5star,breakfast,ac coach,chandni chowk delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,cultural,history enthusiasts,4.2,31500,standard,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts chandni chowk delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots chandni chowk delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star standard standard short_trip short_trip ac coach breakfast
IND0007,delhi nature tour,delhi,5,3star,breakfast dinner,private cab,lotus temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,nature wildlife,nature lovers,4.5,37000,standard,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers lotus temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots lotus temple delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 3star 3star standard standard short_trip short_trip private cab breakfast dinner
IND0008,delhi premium tour,delhi,5,5star,breakfast,train cab,red fort delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,grand tour,all travelers,4.5,114000,luxury,short_trip,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography grand tour grand tour grand tour all travelers all travelers all travelers red fort delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots red fort delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 5star 5star luxury luxury short_trip short_trip train cab breakfast
IND0009,delhi luxury tour,delhi,7,luxury heritage,breakfast,flight cab,agrasen ki baoli delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,budget,students solo travelers,4.2,18500,budget,vacation,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography budget budget budget students solo travelers students solo travelers students solo travelers agrasen ki baoli delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots agrasen ki baoli delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots luxury heritage luxury heritage budget budget vacation vacation flight cab breakfast
IND0010,delhi family tour,delhi,7,4star,breakfast lunch dinner,private cab,sunder nursery delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots,sightseeing local food tour photography,family,families,4.6,42500,standard,vacation,delhi delhi delhi delhi sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography sightseeing local food tour photography family family family families families families sunder nursery delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots sunder nursery delhi local market delhi city museum sunset view point heritage walk famous temple botanical garden riverfront photography spots 4star 4star standard standard vacation vacation private cab breakfast lunch dinner
