Package ID,Package Name,Country,Cities Covered,Duration,Hotel Category,Meals,Transportation,Major Attractions,Activities,Package Type,Best For,Rating,Estimated Cost 
IND0001,Delhi Explorer Tour,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"India Gate, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.6,11500
IND0002,Delhi Heritage Tour,India,Delhi,4 Days / 3 Nights,3-Star,Breakfast + Lunch + Dinner,Train + Cab,"Humayun's Tomb, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.5,30500
IND0003,Delhi Royal Tour,India,Delhi,3 Days / 2 Nights,3-Star,Breakfast,AC Coach,"Akshardham Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,4.6,37500
IND0004,Delhi Scenic Tour,India,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Train + Cab,"Waste to Wonder Park, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.1,46500
IND0005,Delhi Adventure Tour,India,Delhi,4 Days / 3 Nights,5-Star,Breakfast,AC Coach,"Jantar Mantar, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.2,102000
IND0006,Delhi Cultural Tour,India,Delhi,6 Days / 5 Nights,5-Star,Breakfast,AC Coach,"Chandni Chowk, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Cultural,History Enthusiasts,4.2,31500
IND0007,Delhi Nature Tour,India,Delhi,5 Days / 4 Nights,3-Star,Breakfast + Dinner,Private Cab,"Lotus Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Nature & Wildlife,Nature Lovers,4.5,37000
IND0008,Delhi Premium Tour,India,Delhi,5 Days / 4 Nights,5-Star,Breakfast,Train + Cab,"Red Fort, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Grand Tour,All Travelers,4.5,114000
IND0009,Delhi Luxury Tour,India,Delhi,7 Days / 6 Nights,Luxury Heritage,Breakfast,Flight + Cab,"Agrasen ki Baoli, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.2,18500
IND0010,Delhi Family Tour,India,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Private Cab,"Sunder Nursery, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.6,42500
IND0011,Delhi Weekend Tour,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"Garden of Five Senses, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,4.1,39000
IND0012,Delhi Discovery Tour,India,Delhi,3 Days / 2 Nights,5-Star,Breakfast + Dinner,Flight + Cab,"Lodhi Garden, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.5,30000
IND0013,Delhi Panorama Tour,India,Delhi,4 Days / 3 Nights,5-Star,Breakfast,Flight + Cab,"National Gallery of Modern Art, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.5,100500
IND0014,Delhi Escape Tour,India,Delhi,3 Days / 2 Nights,4-Star,Breakfast,Train + Cab,"National Zoological Park, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Cultural,History Enthusiasts,4.1,21000
IND0015,Delhi Trails Tour,India,Delhi,6 Days / 5 Nights,4-Star,Breakfast + Lunch + Dinner,Flight + Cab,"Qutub Minar, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Nature & Wildlife,Nature Lovers,4.5,39500
IND0016,Delhi Delight Tour,India,Delhi,3 Days / 2 Nights,3-Star,Breakfast + Dinner,Train + Cab,"National Science Centre, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Grand Tour,All Travelers,4.4,88000
IND0017,Mumbai Explorer Tour,India,Mumbai,5 Days / 4 Nights,4-Star,Breakfast + Lunch + Dinner,Flight + Cab,"Marine Drive, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.5,16000
IND0018,Mumbai Heritage Tour,India,Mumbai,4 Days / 3 Nights,Luxury Heritage,Breakfast + Lunch + Dinner,Train + Cab,"Gateway of India, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.6,32000
IND0019,Mumbai Royal Tour,India,Mumbai,4 Days / 3 Nights,4-Star,Breakfast,Flight + Cab,"Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,4.6,44500
IND0020,Mumbai Scenic Tour,India,Mumbai,7 Days / 6 Nights,Luxury Heritage,Breakfast + Dinner,AC Coach,"Sanjay Gandhi National Park, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.3,45000
IND0021,Mumbai Adventure Tour,India,Mumbai,4 Days / 3 Nights,3-Star,Breakfast,Private Cab,"Siddhivinayak Temple, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.8,98000
IND0022,Mumbai Cultural Tour,India,Mumbai,4 Days / 3 Nights,Luxury Heritage,Breakfast + Lunch + Dinner,Private Cab,"Mahalaxmi Temple, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Cultural,History Enthusiasts,4.7,23500
IND0023,Mumbai Nature Tour,India,Mumbai,6 Days / 5 Nights,Luxury Heritage,Breakfast + Lunch + Dinner,Flight + Cab,"Haji Ali Dargah, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Nature & Wildlife,Nature Lovers,4.4,41000
IND0024,Mumbai Premium Tour,India,Mumbai,7 Days / 6 Nights,3-Star,Breakfast + Lunch + Dinner,Flight + Cab,"Chowpatty Beach, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Water Sports, Beach Walk, Sunset Cruise",Grand Tour,All Travelers,4.3,139000
IND0025,Mumbai Luxury Tour,India,Mumbai,5 Days / 4 Nights,5-Star,Breakfast + Dinner,AC Coach,"Essel World, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.3,14500
IND0026,Mumbai Family Tour,India,Mumbai,6 Days / 5 Nights,5-Star,Breakfast + Lunch + Dinner,AC Coach,"Elephanta Caves, Mumbai Local Market, Mumbai City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.3,38500
IND0027,Lonavala Explorer Tour,India,Lonavala,7 Days / 6 Nights,5-Star,Breakfast + Lunch + Dinner,AC Coach,"Imagicaa, Lonavala Local Market, Lonavala City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,1.4,57000
IND0028,Bangalore Explorer Tour,India,Bangalore,4 Days / 3 Nights,4-Star,Breakfast + Lunch + Dinner,Private Cab,"Bangalore Palace, Bangalore Local Market, Bangalore City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.2,32000
IND0029,Bangalore Heritage Tour,India,Bangalore,7 Days / 6 Nights,Luxury Heritage,Breakfast,Private Cab,"Lalbagh Botanical Garden, Bangalore Local Market, Bangalore City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.4,130500
