Package ID,Package Name,Destination,Duration,Hotel Category,Meals,Transportation,Major Attractions,Activities,Package Type,Best For,Rating,Estimated Cost 
IND0001,Delhi Explorer Package,Delhi,3 Days / 2 Nights,5-Star,Breakfast,AC Coach,"India Gate, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.6,11670
IND0002,Delhi Explorer Package,Delhi,4 Days / 3 Nights,3-Star,Breakfast + Lunch + Dinner,Train + Cab,"Humayun's Tomb, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.5,30501
IND0003,Delhi Explorer Package,Delhi,3 Days / 2 Nights,3-Star,Breakfast,AC Coach,"Akshardham Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Honeymoon,Couples,4.6,37395
IND0004,Delhi Explorer Package,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Train + Cab,"Waste to Wonder Park, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Adventure,Adventure Lovers,4.1,46459
IND0005,Delhi Explorer Package,Delhi,4 Days / 3 Nights,5-Star,Breakfast,AC Coach,"Jantar Mantar, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Luxury,Premium Travelers,4.2,101831
IND0006,Delhi Explorer Package,Delhi,6 Days / 5 Nights,5-Star,Breakfast,AC Coach,"Chandni Chowk, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Cultural,History Enthusiasts,4.2,31545
IND0007,Delhi Explorer Package,Delhi,5 Days / 4 Nights,3-Star,Breakfast + Dinner,Private Cab,"Lotus Temple, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Nature & Wildlife,Nature Lovers,4.5,36821
IND0008,Delhi Explorer Package,Delhi,5 Days / 4 Nights,5-Star,Breakfast,Train + Cab,"Red Fort, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Grand Tour,All Travelers,4.5,114019
IND0009,Delhi Explorer Package,Delhi,7 Days / 6 Nights,Luxury Heritage,Breakfast,Flight + Cab,"Agrasen ki Baoli, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Budget,"Students, Solo Travelers",4.2,18582
IND0010,Delhi Explorer Package,Delhi,7 Days / 6 Nights,4-Star,Breakfast + Lunch + Dinner,Private Cab,"Sunder Nursery, Delhi Local Market, Delhi City Museum, Sunset View Point, Heritage Walk, Famous Temple, Botanical Garden, Riverfront, Photography Spots","Sightseeing, Local Food Tour, Photography",Family,Families,4.6,42257
